artist_count,released_year,released_month,released_day,streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
2,2023,7,14,141381703,125,80,89,83,31,0,8,4
1,2023,3,23,133716286,92,71,61,74,7,0,10,4
1,2023,6,30,140003974,138,51,32,53,17,0,31,6
1,2019,8,23,800840817,170,55,58,72,11,0,11,15
1,2023,5,18,303236322,144,65,23,80,14,63,11,6
2,2023,6,1,183706234,141,92,66,58,19,0,8,24
2,2023,3,16,725980112,148,67,83,76,48,0,8,3
1,2023,7,7,58149378,100,67,26,71,37,0,11,4
1,2023,5,15,95217315,130,85,22,62,12,0,28,9
2,2023,3,17,553634067,170,81,56,48,21,0,8,33
2,2023,4,17,505671438,83,57,56,72,23,0,27,5
1,2023,7,7,58255150,150,78,52,82,18,0,15,7
1,2023,1,12,1316855716,118,71,65,68,6,0,3,7
1,2023,4,14,387570742,130,51,32,43,83,0,9,3
1,2022,12,8,1163093654,89,64,43,73,5,17,16,4
1,2023,2,24,496795686,120,78,76,59,43,0,34,3
1,2023,7,13,30546883,78,44,14,9,96,0,10,3
2,2023,3,31,335222234,100,86,67,66,14,0,12,16
1,2023,3,24,363369738,120,63,36,73,0,0,36,4
3,2023,6,22,86444842,140,65,87,74,22,0,42,4
1,2023,7,7,52135248,123,69,82,76,6,0,6,3
1,2013,1,1,1297026226,135,48,44,42,12,2,11,3
2,2023,5,31,200647221,133,85,81,67,26,0,12,5
3,2023,6,2,115364561,99,85,83,68,7,0,36,20
1,2023,6,22,78300654,130,79,96,86,9,0,9,9
2,2022,3,25,899183384,107,80,82,80,43,0,14,4
2,2023,6,29,61245289,122,81,74,71,14,0,56,4
1,2023,1,31,429829812,204,52,52,68,46,0,15,4
1,2023,5,25,127408954,110,67,78,85,2,0,33,5
1,2023,7,13,22581161,126,74,35,84,0,0,11,6
2,2023,6,28,52294266,168,56,63,87,39,0,11,5
3,2022,12,2,843957510,98,71,17,61,36,0,8,5
1,2022,10,21,999748277,97,64,51,63,12,0,19,5
2,2023,2,23,618990393,180,72,61,63,67,0,9,28
8,2023,6,1,123122413,120,81,63,68,11,0,11,4
2,2023,4,7,188933502,150,61,39,73,37,0,11,3
